# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 559K of event 'cpu-clock'
# Event count (approx.): 139767000000
#
# Overhead  Command  Shared Object         Symbol                                       
# ........  .......  ....................  .............................................
#
     0.00%  ua.B.x   libgomp.so.1.0.0      [.] 0x000000000000f963
     0.00%  ua.B.x   libgomp.so.1.0.0      [.] 0x000000000000f973
     0.00%  ua.B.x   libgomp.so.1.0.0      [.] 0x000000000000f981
     0.00%  ua.B.x   libgomp.so.1.0.0      [.] 0x000000000000f99b
     0.00%  ua.B.x   libgomp.so.1.0.0      [.] 0x0000000000016dbe
     0.00%  ua.B.x   libgomp.so.1.0.0      [.] 0x0000000000016df0
     0.00%  ua.B.x   libgomp.so.1.0.0      [.] 0x0000000000016e7f
     0.00%  ua.B.x   libgomp.so.1.0.0      [.] 0x0000000000016ebf
     0.00%  ua.B.x   libgomp.so.1.0.0      [.] 0x0000000000017031
     0.00%  ua.B.x   libgomp.so.1.0.0      [.] 0x0000000000017490
     0.00%  ua.B.x   libgomp.so.1.0.0      [.] 0x0000000000017597
     0.00%  ua.B.x   libgomp.so.1.0.0      [.] 0x00000000000175e2
     0.00%  ua.B.x   libgomp.so.1.0.0      [.] 0x0000000000017645
     0.00%  ua.B.x   libgomp.so.1.0.0      [.] 0x000000000001767c
     0.00%  ua.B.x   libgomp.so.1.0.0      [.] 0x0000000000017771
     0.00%  ua.B.x   libgomp.so.1.0.0      [.] 0x000000000001820c
     0.00%  ua.B.x   libgomp.so.1.0.0      [.] 0x00000000000184a3
     0.00%  ua.B.x   libgomp.so.1.0.0      [.] 0x0000000000018c79
     0.00%  ua.B.x   libgomp.so.1.0.0      [.] 0x0000000000019357
     0.00%  ua.B.x   libgomp.so.1.0.0      [.] 0x0000000000019377
     0.00%  ua.B.x   libgomp.so.1.0.0      [.] 0x0000000000019423
     0.00%  ua.B.x   libgomp.so.1.0.0      [.] 0x00000000000194b4
     0.00%  ua.B.x   libgomp.so.1.0.0      [.] 0x00000000000194e7
     0.00%  ua.B.x   libgomp.so.1.0.0      [.] 0x0000000000019517
     0.00%  ua.B.x   libgomp.so.1.0.0      [.] 0x0000000000019519
     0.00%  ua.B.x   libgomp.so.1.0.0      [.] 0x00000000000195b2
     0.00%  ua.B.x   libgomp.so.1.0.0      [.] 0x00000000000195c5
     0.00%  ua.B.x   ua.B.x                [.] MAIN__
     0.00%  ua.B.x   ua.B.x                [.] adaptation_
     0.00%  ua.B.x   ua.B.x                [.] adds1m1_
     0.00%  ua.B.x   ua.B.x                [.] omp_get_thread_num@plt
     0.00%  ua.B.x   ua.B.x                [.] omp_init_lock_@plt


#
# (Cannot load tips.txt file, please install perf!)
#
