Optimisation,O0,O1,O2,O3,,
  -ftrapv                     ,[disabled],[disabled],[disabled],[disabled],,"'-ftrapv',"
  -ftree-bit-ccp              ,[disabled],[enabled],[enabled],[enabled],,"'-ftree-bit-ccp',"
  -ftree-builtin-call-dce     ,[disabled],[enabled],[enabled],[enabled],,"'-ftree-builtin-call-dce',"
  -ftree-ccp                  ,[disabled],[enabled],[enabled],[enabled],,"'-ftree-ccp',"
  -ftree-ch                   ,[disabled],[enabled],[enabled],[enabled],,"'-ftree-ch',"
  -ftree-coalesce-vars        ,[disabled],[enabled],[enabled],[enabled],,"'-ftree-coalesce-vars',"
  -ftree-copy-prop            ,[disabled],[enabled],[enabled],[enabled],,"'-ftree-copy-prop',"
  -ftree-cselim               ,[enabled],[enabled],[enabled],[enabled],,"'-ftree-cselim',"
  -ftree-dce                  ,[disabled],[enabled],[enabled],[enabled],,"'-ftree-dce',"
  -ftree-dominator-opts       ,[disabled],[enabled],[enabled],[enabled],,"'-ftree-dominator-opts',"
  -ftree-dse                  ,[disabled],[enabled],[enabled],[enabled],,"'-ftree-dse',"
  -ftree-forwprop             ,[enabled],[enabled],[enabled],[enabled],,"'-ftree-forwprop',"
  -ftree-fre                  ,[disabled],[enabled],[enabled],[enabled],,"'-ftree-fre',"
  -ftree-loop-distribute-patterns ,[disabled],[disabled],[disabled],[enabled],,"'-ftree-loop-distribute-patterns',"
  -ftree-loop-distribution    ,[disabled],[disabled],[disabled],[disabled],,"'-ftree-loop-distribution',"
  -ftree-loop-if-convert      ,[enabled],[enabled],[enabled],[enabled],,"'-ftree-loop-if-convert',"
  -ftree-loop-im              ,[enabled],[enabled],[enabled],[enabled],,"'-ftree-loop-im',"
  -ftree-loop-ivcanon         ,[enabled],[enabled],[enabled],[enabled],,"'-ftree-loop-ivcanon',"
  -ftree-loop-optimize        ,[enabled],[enabled],[enabled],[enabled],,"'-ftree-loop-optimize',"
  -ftree-loop-vectorize       ,[disabled],[disabled],[disabled],[enabled],,"'-ftree-loop-vectorize',"
  -ftree-lrs                  ,[disabled],[disabled],[disabled],[disabled],,"'-ftree-lrs',"
